نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
خساپا,نسبت p/m=15.92*** distance =-66.40,0.00,-33.78,3370.10,مین حجم ماه=2190.14*** مین ارزش ماه =97.72***مین حجم ماه دو=1587.49,خرید=1.46*** فروش =1.86
ذوب,نسبت p/m=2.68*** distance =-92.48,2.34,-33.81,1737.58,مین حجم ماه=1291.69*** مین ارزش ماه =43.43***مین حجم ماه دو=789.13,خرید=1.71*** فروش =1.74
وبملت,نسبت p/m=16.61*** distance =-86.50,50.46,-26.73,2336.71,مین حجم ماه=2041.34*** مین ارزش ماه =235.80***مین حجم ماه دو=1640.32,خرید=1.66*** فروش =1.87
وبصادر,نسبت p/m=7.60*** distance =-85.90,10.06,-25.91,1120.50,مین حجم ماه=897.80*** مین ارزش ماه =45.80***مین حجم ماه دو=565.42,خرید=1.20*** فروش =1.40
شتران,نسبت p/m=90.59*** distance =-65.58,0.04,-30.98,944.22,مین حجم ماه=570.51*** مین ارزش ماه =145.11***مین حجم ماه دو=201.80,خرید=0.91*** فروش =0.96
وتجارت,نسبت p/m=1.93*** distance =-95.78,2.73,-26.50,2475.82,مین حجم ماه=1844.74*** مین ارزش ماه =79.11***مین حجم ماه دو=1338.59,خرید=1.25*** فروش =1.28
فولاد,نسبت p/m=-4.30*** distance =-98.45,13.01,-30.67,787.38,مین حجم ماه=772.09*** مین ارزش ماه =199.36***مین حجم ماه دو=540.53,خرید=1.37*** فروش =1.25
كيسون,نسبت p/m=21.21*** distance =-87.77,36.88,-9.31,813.87,مین حجم ماه=327.00*** مین ارزش ماه =56.24***مین حجم ماه دو=4.83,خرید=0.40*** فروش =0.41
خبهمن,نسبت p/m=111.37*** distance =-33.24,18.18,-27.43,422.91,مین حجم ماه=225.50*** مین ارزش ماه =36.32***مین حجم ماه دو=63.51,خرید=0.60*** فروش =0.60
شستا,نسبت p/m=2.98*** distance =-97.95,4.45,-29.20,928.92,مین حجم ماه=867.47*** مین ارزش ماه =120.10***مین حجم ماه دو=465.16,خرید=1.13*** فروش =1.07
