نماد,نسبت پول به قیمت,درصد,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
خودرو,نسبت p/m=5.32*** distance =-89.53,2.7,15.16,-37.70,6860.44,مین حجم ماه=4281.00*** مین ارزش ماه =200.05***مین حجم ماه دو=3205.86,خرید=1.48*** فروش =1.69
وبملت,نسبت p/m=6.82*** distance =-94.38,2.94,50.91,-25.21,2054.83,مین حجم ماه=2144.99*** مین ارزش ماه =251.55***مین حجم ماه دو=1397.29,خرید=2.07*** فروش =1.74
شتران,نسبت p/m=44.77*** distance =-83.62,2.97,0.14,-36.57,1047.12,مین حجم ماه=727.35*** مین ارزش ماه =192.33***مین حجم ماه دو=203.56,خرید=0.93*** فروش =0.86
وبصادر,نسبت p/m=4.89*** distance =-91.16,0.35,7.79,-29.09,1456.92,مین حجم ماه=1068.11*** مین ارزش ماه =56.59***مین حجم ماه دو=519.64,خرید=1.52*** فروش =1.54
وتجارت,نسبت p/m=-1.20*** distance =-97.37,2.86,2.10,-27.32,1609.68,مین حجم ماه=1895.57*** مین ارزش ماه =82.72***مین حجم ماه دو=1297.79,خرید=1.99*** فروش =1.66
وگردش,نسبت p/m=18.84*** distance =-74.12,0.52,75.58,-58.47,648.98,مین حجم ماه=767.51*** مین ارزش ماه =46.86***مین حجم ماه دو=52.29,خرید=2.59*** فروش =3.68
ذوب,نسبت p/m=-0.60*** distance =-98.36,2.77,4.42,-30.96,1905.95,مین حجم ماه=1336.19*** مین ارزش ماه =45.76***مین حجم ماه دو=796.25,خرید=1.41*** فروش =1.38
شپنا,نسبت p/m=-11.37*** distance =-97.57,2.9,0.80,-39.80,520.81,مین حجم ماه=576.40*** مین ارزش ماه =258.28***مین حجم ماه دو=248.11,خرید=1.39*** فروش =1.20
هاي وب,نسبت p/m=9.86*** distance =-71.62,2.74,47.24,-31.80,472.13,مین حجم ماه=313.28*** مین ارزش ماه =10.23***مین حجم ماه دو=176.52,خرید=0.98*** فروش =1.06
فولاد,نسبت p/m=-10.80*** distance =-96.08,2.21,15.38,-27.10,553.70,مین حجم ماه=771.21*** مین ارزش ماه =202.42***مین حجم ماه دو=545.87,خرید=1.56*** فروش =1.29
كيسون,نسبت p/m=2.92*** distance =-98.34,3,37.83,-6.47,376.89,مین حجم ماه=365.21*** مین ارزش ماه =62.92***مین حجم ماه دو=5.24,خرید=0.74*** فروش =0.72
كگل,نسبت p/m=35.95*** distance =-82.07,2.99,4.69,-26.62,163.03,مین حجم ماه=197.95*** مین ارزش ماه =38.53***مین حجم ماه دو=60.97,خرید=1.47*** فروش =0.96
اخابر,نسبت p/m=-0.22*** distance =-99.53,2.83,16.81,-27.03,454.17,مین حجم ماه=589.89*** مین ارزش ماه =26.06***مین حجم ماه دو=397.23,خرید=1.41*** فروش =1.17
وساپا,نسبت p/m=163.61*** distance =-68.87,2.99,0.18,-56.12,301.79,مین حجم ماه=194.86*** مین ارزش ماه =94.54***مین حجم ماه دو=104.08,خرید=0.61*** فروش =0.66
دي,نسبت p/m=-7.17*** distance =-90.16,2.95,0.91,-32.01,424.94,مین حجم ماه=353.85*** مین ارزش ماه =23.63***مین حجم ماه دو=133.36,خرید=1.01*** فروش =1.03
ومعادن,نسبت p/m=-4.10*** distance =-97.95,2.99,3.97,-33.36,142.45,مین حجم ماه=221.76*** مین ارزش ماه =42.56***مین حجم ماه دو=80.23,خرید=2.41*** فروش =1.14
كچاد,نسبت p/m=64.83*** distance =-74.45,2.97,1.89,-48.29,261.44,مین حجم ماه=192.00*** مین ارزش ماه =45.69***مین حجم ماه دو=44.81,خرید=0.59*** فروش =0.45
شگستر,نسبت p/m=29.27*** distance =-65.62,2.92,19.85,-12.37,256.52,مین حجم ماه=219.59*** مین ارزش ماه =18.46***مین حجم ماه دو=88.93,خرید=0.70*** فروش =1.00
خبهمن,نسبت p/m=61.13*** distance =-63.54,2.11,20.49,-23.08,320.39,مین حجم ماه=248.07*** مین ارزش ماه =40.27***مین حجم ماه دو=60.17,خرید=0.77*** فروش =0.63
ثاخت,نسبت p/m=16.53*** distance =-68.48,-0.19,90.74,-7.85,574.32,مین حجم ماه=199.02*** مین ارزش ماه =12.97***مین حجم ماه دو=13.72,خرید=0.09*** فروش =0.09
